no_topics,min_df,max_df,alpha,eta,c_v
11.0,0.03,0.46,0.35000000000000003,0.09,0.36472672573166576
14.0,0.04,0.17,0.16,0.24,0.3221209398648715
10.0,0.04,0.4,0.25,0.16,0.29505515740657806
13.0,0.1,0.49,0.15,0.05,0.32523400909685307
13.0,0.03,0.17,0.31,0.16,0.3222378902159815
5.0,0.04,0.16,0.45,0.22,0.32021222844348274
15.0,0.03,0.15,0.21,0.29,0.3183808524399199
3.0,0.06,0.25,0.4,0.19,0.3717731802327943
4.0,0.07,0.4,0.24,0.1,0.3220219102229207
6.0,0.09,0.39,0.47000000000000003,0.01,0.2835142737230934
10.0,0.1,0.35000000000000003,0.29,0.02,0.32638863811272445
8.0,0.02,0.22,0.14,0.26,0.31085560829575143
2.0,0.02,0.34,0.08,0.24,0.29471234694437687
13.0,0.08,0.48,0.38,0.03,0.33210686992126137
13.0,0.05,0.49,0.14,0.05,0.33422608554712213
13.0,0.08,0.47000000000000003,0.13,0.1,0.34538666093035203
8.0,0.03,0.39,0.34,0.18,0.3476746059260575
4.0,0.1,0.26,0.38,0.14,0.320598123485209
5.0,0.09,0.11,0.31,0.21,0.20257062464849723
3.0,0.1,0.17,0.27,0.03,0.295681025847315
5.0,0.02,0.45,0.33,0.06,0.32284000791021905
9.0,0.06,0.29,0.11,0.01,0.3333955376962867
6.0,0.03,0.49,0.46,0.12,0.3412818646575693
2.0,0.05,0.18,0.14,0.05,0.2428189080686931
5.0,0.09,0.26,0.21,0.16,0.31213987116399394
15.0,0.05,0.11,0.02,0.3,0.2767164120214731
11.0,0.09,0.41000000000000003,0.35000000000000003,0.17,0.30093552422738684
11.0,0.03,0.5,0.13,0.13,0.3774121705861321
4.0,0.03,0.19,0.23,0.12,0.3480258329469434
3.0,0.06,0.43,0.02,0.05,0.3268434171861539
6.0,0.08,0.42,0.49,0.15,0.31842799392560006
7.0,0.1,0.49,0.24,0.22,0.34957708258282166
8.0,0.01,0.12,0.43,0.17,0.2968306958659188
5.0,0.05,0.4,0.3,0.17,0.329630515890591
13.0,0.07,0.12,0.17,0.09,0.2718162962581486
4.0,0.04,0.38,0.17,0.28,0.32088469057406627
5.0,0.06,0.38,0.1,0.19,0.3342215298933346
14.0,0.02,0.44,0.1,0.05,0.325599507438248
11.0,0.04,0.41000000000000003,0.23,0.29,0.31283627764687605
5.0,0.1,0.19,0.02,0.16,0.2975186630975636
8.0,0.08,0.31,0.41000000000000003,0.11,0.3202543265399812
6.0,0.06,0.32,0.15,0.12,0.35352246734028553
15.0,0.02,0.44,0.39,0.3,0.3179879264910877
9.0,0.03,0.48,0.38,0.16,0.35937171348631913
4.0,0.07,0.34,0.16,0.07,0.2855549958539506
11.0,0.1,0.42,0.46,0.12,0.31373809328653923
8.0,0.02,0.5,0.45,0.07,0.3380606296089969
3.0,0.06,0.24,0.16,0.27,0.2898479463176222
12.0,0.02,0.44,0.45,0.13,0.31949421754209634
4.0,0.06,0.4,0.2,0.07,0.3269465205656902
5.0,0.06,0.19,0.05,0.11,0.301066805109076
5.0,0.01,0.27,0.06,0.17,0.3205006720750195
14.0,0.1,0.45,0.01,0.14,0.3269212395445585
8.0,0.08,0.48,0.2,0.01,0.3457807547410228
9.0,0.02,0.22,0.39,0.16,0.2869687963756701
11.0,0.02,0.3,0.45,0.11,0.34719912028676625
15.0,0.07,0.24,0.2,0.2,0.3121187788781835
11.0,0.06,0.33,0.19,0.14,0.3526288820858982
4.0,0.05,0.26,0.09,0.2,0.3195377308014185
15.0,0.05,0.3,0.41000000000000003,0.19,0.3151481189840981
12.0,0.07,0.14,0.25,0.08,0.30460470294896774
7.0,0.03,0.37,0.08,0.07,0.32839882623702643
6.0,0.05,0.27,0.44,0.16,0.3040681114189541
